a	A
sobre	s O b R
sobriquet	s O b R i k E
soc	s O k
soccer	s O k @
sociabilité	s O s j a b i l i t e
social	s O s j a l
sociale	s O s j a l
sociales	s O s j a l
socialisme	s O s j a l i z m
sociaux	s O s j o
sociologie	s O s j O l O Z i
sociétaire	s O s j e t E R
sociétal	s O s j e t a l
sociétale	s O s j e t a l
sociétales	s O s j e t a l
sociétaux	s O s j e t o
société	s O s j e t e
sociétés	s O s j e t e
socle	s O k l
soda	s o d a
sodique	s O d i k
sodium	s O d j O m
soeur	s 9 R
sofa	s o f a
soft	s O f t
soi	s w a
soie	s w a
soient	s w a
soies	s w a
soif	s w a f
soigner	s w a J e
soigneusement	s w a J 2 z m A~
soigné	s w a J e
soin	s w E~
soir	s w a R
soirs	s w a R
soirée	s w a R e
sois	s w a
soit	s w a
soixantaine	s w a s A~ t E n
soixante	s w a s A~ t
soixantième	s w a s A~ t j E m
soja	s O Z a
sol	s O l
soldat	s O l d a
solde	s O l d
sole	s O l
soleil	s O l E j
solennel	s O l a n E l
solennité	s O l a n i t e
solfège	s O l f E Z
solidaire	s O l i d E R
solidarité	s O l i d a R i t e
solide	s O l i d
solitaire	s O l i t E R
solitude	s O l i t y d
sollicitation	s O l i s i t a s j O~
solliciter	s O l i s i t e
solo	s O l o
solstice	s O l s t i s
solution	s O l y s j O~
solvabilité	s O l v a b i l i t e
solénoïde	s O l e n O i d
sombra	s O~ b R a
sombre	s O~ b R
sommaire	s O m E R
sommairement	s O m E R m A~
sommaires	s O m E R
sommation	s O m a s j O~
somme	s O m
sommeil	s O m E j
sommer	s O m e
sommes	s O m
sommet	s O m E
sommier	s O m j e
somptueuse	s O~ p t H 2 z
somptueuses	s O~ p t H 2 z
somptueux	s O~ p t H 2
son	s O~
sondage	s O~ d a Z
sonde	s O~ d
sonder	s O~ d e
songe	s O~ Z
songer	s O~ Z e
sonner	s O n e
sonnet	s O n E
sonnets	s O n E
sonnette	s O n E t
sonore	s O n O R
sonorité	s O n O R i t e
sonorités	s O n O R i t e
sons	s O~
sont	s O~
sophiste	s O f i s t
sophistication	s O f i s t i k a s j O~
soprano	s O p R a n o
sorbier	s O R b j e
sorcellerie	s O R s E l R i
sorcier	s O R s j e
sorcière	s O R s j E R
sorgho	s O R g o
sort	s O R
sorte	s O R t
sortie	s O R t i
sortilège	s O R t i l E Z
sortilèges	s O R t i l E Z
sortir	s O R t i R
sorts	s O R
sosie	s O z i
sot	s o
sou	s u
souche	s u S
souci	s u s i
soucier	s u s j e
soucoupe	s u k u p
souda	s u d a
soudain	s u d E~
soudainement	s u d E n m A~
soude	s u d
souder	s u d e
soudure	s u d y R
soudé	s u d e
soufflage	s u f l a Z
souffle	s u f l
souffler	s u f l e
soufflet	s u f l E
souffrance	s u f R A~ s
souffrances	s u f R A~ s
souffrir	s u f R i R
soufre	s u f R
soufré	s u f R e
souhait	s u w E
souhaiter	s w e t e
souk	s u k
soul	s u
soulagement	s u l a Z m A~
soulager	s u l a Z e
soulever	s u l v e
soulier	s u l j e
souligner	s u l i J e
soumettre	s u m E t R
soumis	s u m i
soumission	s u m i s j O~
soupape	s u p a p
soupapes	s u p a p
soupe	s u p
souper	s u p e
soupir	s u p i R
souple	s u p l
souplesse	s u p l E s
soupçon	s u p s O~
soupçonner	s u p s O n e
soupçons	s u p s O~
sourate	s u R a t
source	s u R s
sourd	s u R
sourde	s u R d
souriant	s u R j A~
sourire	s u R i R
souris	s u R i
sous	s u
souscription	s u s k R i p s j O~
soustraction	s u s t R a k s j O~
soustraire	s u s t R E R
soutane	s u t a n
soute	s u t
soutenir	s u t n i R
souterrain	s u t E R E~
soutien	s u t j E~
souvenir	s u v n i R
souvent	s u v A~
souverain	s u v R E~
souveraineté	s u v @ R E n @ t e
souverainiste	s u v R E n i s t
soyeux	s w a j 2
spacieux	s p a s j 2
spaghetti	s p a g e t i
spam	s p a m
spartiate	s p a R s j a t
spatial	s p a s j a l
spatule	s p a t y l
speaker	s p i k 9 R
spectacle	s p E k t a k l
spectateur	s p E k t a t 9 R
spectral	s p E k t R a l
spectroscopie	s p E k t R O s k O p i
speech	s p i tS
spencer	s p E n s E R
sperme	s p E R m
sphincter	s f E~ k t E R
sphinx	s f E~ k s
sphère	s f E R
spirale	s p i R a l
spire	s p i R
spirituel	s p i R i t H E l
spirituelle	s p i R i t H E l
spirituelles	s p i R i t H E l
spirituels	s p i R i t H E l
spleen	s p l i n
splendeur	s p l A~ d 9 R
splendide	s p l A~ d i d
splendides	s p l A~ d i d
sponsor	s p O~ s O R
sponsoring	s p O~ s O R i N
sponsorise	s p O~ s O R i z
spontané	s p O~ t a n e
sport	s p O R
sportif	s p O R t i f
spot	s p O t
sprint	s p R i n t
sprinter	s p R i n t 9 R
sprinteur	s p R i n t 9 R
spécial	s p e s j a l
spécialement	s p e s j a l m A~
spécialiste	s p e s j a l i s t
spécialité	s p e s j a l i t e
spécifique	s p e s i f i k
spécifiquement	s p e s i f i k m A~
spécimen	s p e s i m A~
square	s k w a R
squash	s k w a S
squelette	s k @ l E t
squelettes	s k @ l E t
squelettique	s k @ l E t i k
stabiliser	s t a b i l i z e
stable	s t a b l
stade	s t a d
staff	s t a f
stages	s t a Z
stagiaire	s t a Z j E R
stalinisme	s t a l i n i s m
stand	s t A~ d
standard	s t A~ d a R
standing	s t A~ d i N
star	s t a R
starter	s t a R t 9 R
station	s t a s j O~
stationnaire	s t a s j O n E R
stationnaires	s t a s j O n E R
statisticien	s t a t i s t i s j E~
statistique	s t a t i s t i k
statistiques	s t a t i s t i k
statue	s t a t y
statuette	s t a t H E t
statut	s t a t y
steak	s t E k
stellaire	s t E l E R
stellaires	s t E l E R
steppe	s t E p
sterne	s t E R n
sternes	s t E R n
steward	s t j u a R d
stimuler	s t i m y l e
stimuli	s t i m y l i
stimulus	s t i m y l y s
stock	s t O k
stocke	s t O k
stockent	s t O k
stocker	s t O k e
stocké	s t O k e
stone	s t o n
stop	s t O p
stopper	s t O p e
stoppeur	s t O p 9 R
store	s t O R
stoïcien	s t O i s j E~
stoïcisme	s t O i s i z m
stratagème	s t R a t a Z E m
strate	s t R a t
stratigraphie	s t R a t i g R a f i
stratosphère	s t R a t O s f E R
stratégie	s t R a t e Z i
stress	s t R E s
strict	s t R i k t
strike	s t R a j k
string	s t R i N
striptease	s t R i p t i z
strontium	s t R O~ s j O m
strophe	s t R O f
structurant	s t R y k t y R A~
structure	s t R y k t y R
structurent	s t R y k t y R
structurer	s t R y k t y R e
structures	s t R y k t y R
structuré	s t R y k t y R e
studio	s t y d j o
stupeur	s t y p 9 R
stupide	s t y p i d
stupéfiant	s t y p e f j A~
style	s t i l
stylet	s t i l E
stylo	s t i l o
stérilisation	s t e R i l i z a s j O~
su	s y
suaire	s H E R
suave	s H a v
subalternes	s y b a l t E R n
subdiviser	s y b d i v i z e
subir	s y b i R
subit	s y b i
subite	s y b i t
subitement	s y b i t m A~
subjectif	s y b Z E k t i f
subjectifs	s y b Z E k t i f
subjective	s y b Z E k t i v
subjonctif	s y b Z O~ k t i f
sublime	s y b l i m
submergé	s y b m E R Z e
subordination	s y b O R d i n a s j O~
subordonné	s y b O R d O n e
subordonnée	s y b O R d O n e
subsidiaire	s y p s i d j E R
subsidiarité	s y p s i d j a R i t e
subsister	s y p s i s t e
substance	s y p s t A~ s
substantif	s y p s t A~ t i f
substituer	s y p s t i t H e
substitution	s y p s t i t y s j O~
substrat	s y p s t R a
subtil	s y p t i l
subtilité	s y p t i l i t e
subvention	s y b v A~ s j O~
suc	s y k
successeur	s y k s E s 9 R
succession	s y k s E s j O~
successivement	s y k s E s i v m A~
succomber	s y k O~ b e
succulente	s y k y l A~ t
succursale	s y k y R s a l
succès	s y k s E
succéder	s y k s e d e
sucre	s y k R
sucré	s y k R e
sud	s y d
sue	s y
sueur	s H 9 R
suffire	s y f i R
suffisamment	s y f i z a m A~
suffisant	s y f i z A~
suffixe	s y f i k s
suggestion	s y g Z E s t j O~
suggestions	s y g Z E s t j O~
suggérer	s y g Z e R e
suicide	s H i s i d
suicider	s H i s i d e
suie	s H i
suif	s H i f
suis	s H i
suisse	s H i s
suite	s H i t
suites	s H i t
suivant	s H i v A~
suivi	s H i v i
suivre	s H i v R
sujet	s y Z E
sultanat	s y l t a n a
sunnisme	s y n i s m
super	s y p E R
superbe	s y p E R b
supercontinent	s y p E R k O~ t i n A~
supercoupe	s y p E R k u p
superficie	s y p E R f i s i
superficiel	s y p E R f i s j E l
superflu	s y p E R f l y
superlatif	s y p E R l a t i f
superman	s y p E R m a n
supernova	s y p E R n o v a
superposer	s y p E R p o z e
superstition	s y p E R s t i s j O~
supplanter	s y p l A~ t e
supplice	s y p l i s
supplément	s y p l e m A~
supplémentaire	s y p l e m A~ t E R
supporter	s y p O R t e
supposer	s y p o z e
supposition	s y p o z i s j O~
supprimer	s y p R i m e
suprématie	s y p R e m a s i
suprême	s y p R E m
suprêmes	s y p R E m
supérieur	s y p e R j 9 R
supérieure	s y p e R j 9 R
supérieurs	s y p e R j 9 R
sur	s y R
surbaissé	s y R b e s e
surcharge	s y R S a R Z
surcroît	s y R k R w a
surdité	s y R d i t e
surdoué	s y R d w e
sureau	s y R o
surface	s y R f a s
surfacique	s y R f a s i k
surfeur	s y R f 9 R
surgi	s y R Z i
surgir	s y R Z i R
surgissent	s y R Z i s
surgit	s y R Z i
surlendemain	s y R l A~ d m E~
surmonter	s y R m O~ t e
surnaturel	s y R n a t y R E l
surnom	s y R n O~
surnommait	s y R n O m e
surnomme	s y R n O m
surnomment	s y R n O m
surnommé	s y R n O m e
surpasser	s y R p A s e
surplomb	s y R p l O~
surplombant	s y R p l O~ b A~
surplombe	s y R p l O~ b
surplombent	s y R p l O~ b
surplombé	s y R p l O~ b e
surplus	s y R p l y
surpoids	s y R p w a
surprenant	s y R p R @ n A~
surprendre	s y R p R A~ d R
surprise	s y R p R i z
sursaut	s y R s o
sursis	s y R s i
surtout	s y R t u
surveillait	s y R v E j e
surveillant	s y R v E j A~
surveillent	s y R v E j
surveiller	s y R v E j e
surveillé	s y R v E j e
survenant	s y R v 2 n A~
survenir	s y R v @ n i R
survenu	s y R v n y
surviennent	s y R v j E n
survient	s y R v j E~
sus	s y
susceptibilité	s y s E p t i b i l i t e
susciter	s y s i t e
suspect	s y s p E
suspecte	s y s p E k t
suspecter	s y s p E k t e
suspectes	s y s p E k t
suspecté	s y s p E k t e
suspendre	s y s p A~ d R
suspens	s y s p A~
suspense	s y s p A~ s
sut	s y
sutures	s y t y R
suédois	s H e d w a
svastika	s v a s t i k a
swahili	s w a i l i
sweat	s w i t
swing	s w i N
syllabe	s i l a b
syllogisme	s i l O Z i z m
symbole	s E~ b O l
symboliquement	s E~ b o l i k m A~
sympathie	s E~ p a t i
sympathique	s E~ p a t i k
sympathise	s E~ p a t i z
symphonie	s i m f O n i
symphonies	s E~ f O n i
symphonique	s E~ f O n i k
symphoniques	s E~ f O n i k
symposium	s E~ p O z j O m
symptôme	s E~ p t o m
symétrie	s i m e t R i
symétrique	s i m e t R i k
symétriquement	s i m e t R i k m A~
symétriques	s i m e t R i k
synagogue	s i n a g O g
synchronisation	s E~ k R O n i z a s j O~
synchrotron	s E~ k R O t R O~
syncope	s E~ k O p
syndic	s E~ d i k
syndical	s E~ d i k a l
syndicales	s E~ d i k a l
syndicat	s E~ d i k a
syndicaux	s E~ d i k o
syndrome	s E~ d R o m
synergie	s i n E R Z i
synergies	s i n E R Z i
synonyme	s i n O n i m
synonymes	s i n O n i m
synopsis	s i n O p s i s
syntagme	s E~ t a g m
syntaxe	s E~ t a k s
syntaxique	s E~ t a k s i k
synthétiseur	s E~ t e t i z 9 R
syriaque	s i R j a k
syrien	s i R j E~
system	s i s t E m
système	s i s t E m
systèmes	s i s t E m
systémique	s i s t e m i k
systémiques	s i s t e m i k
sèche	s E S
sève	s E v
séance	s e A~ s
séances	s e A~ s
sécante	s e k A~ t
sécession	s e s e s j O~
sécher	s e S e
sécheresse	s E S R E s
sécrète	s e k R E t
sécrètent	s e k R E t
sécréter	s e k R e t e
séculaire	s e k y l E R
séculier	s e k y l j e
sécurité	s e k y R i t e
sédatif	s e d a t i f
sédimentation	s e d i m A~ t a s j O~
séduction	s e d y k s j O~
séfarade	s e f a R a d
ségrégation	s e g R e g a s j O~
séisme	s e i s m
séjour	s e Z u R
séjourner	s e Z u R n e
sélectif	s e l E k t i f
sélection	s e l E k s j O~
sélectionner	s e l E k s j O n e
sélectionneur	s e l E k s j O n 9 R
sélections	s e l E k s j O~
sélective	s e l E k t i v
sélectivité	s e l E k t i v i t e
sélénium	s e l e n j O m
sémantique	s e m A~ t i k
sémaphore	s e m a f O R
séminaire	s e m i n E R
séminariste	s e m i n a R i s t
sémitique	s e m i t i k
sénat	s e n a
sénateur	s e n a t 9 R
sénatrice	s e n a t R i s
sénéchal	s e n e S a l
sénéchaussée	s e n e S o s e
séparer	s e p a R e
séparé	s e p a R e
séquençage	s e k A~ s a Z
séquoia	s e k O j a
sérendipité	s e R A~ d i p i t e
série	s e R i
sérieusement	s e R j 2 z m A~
sérieux	s e R j 2
sérum	s e R O m
sérénade	s e R e n a d
sésame	s e z a m
sévices	s e v i s
sévit	s e v i
sévère	s e v E R
sévèrement	s e v E R m A~
sévérité	s e v e r i t e
sûr	s y R
sûre	s y R
sûrement	s y R m A~
sûreté	s y R t e
t	t e
ta	t a
tabac	t a b a
tabagisme	t a b a Z i z m
table	t a b l
tableau	t a b l o
tableaux	t a b l o
tablette	t a b l E t
tablettes	t a b l E t
tablier	t a b l i j e
tabouret	t a b u R E
tache	t a S
tactique	t a k t i k
tadjik	t a dZ i k
taf	t a f
tag	t a g
taille	t a j
tailler	t A j e
tailleur	t A j 9 R
taillis	t A j i
taire	t E R
talc	t a l k
talent	t a l A~
talentueux	t a l A~ t H 2
talmud	t a l m y d
talon	t a l O~
talus	t a l y
tamarin	t a m a R E~
tambour	t A~ b u R
tambourin	t A~ b u R E~
tamis	t a m i
tamoul	t a m u l
tampon	t A~ p O~
tan	t A~
tanche	t A~ S
tandem	t A~ d E m
tandis	t A~ d i
tangage	t A~ g a Z
tangente	t A~ Z A~ t
tangible	t A~ Z i b l
tango	t A~ g o
tanière	t a n j E R
tank	t A~ k
tanna	t a n a
tanner	t a n e
tant	t A~
tantale	t A~ t a l
tante	t A~ t
tantôt	t A~ t o
tanzanien	t A~ z a n j E~
taoïsme	t a o i s m
tape	t a p
taper	t a p e
tapir	t a p i R
tapis	t a p i
tapisserie	t a p i s R i
tapissier	t a p i s j e
tard	t a R
tardif	t a R d i f
tardifs	t a R d i f
tardive	t a R d i v
tardives	t a R d i v
tarif	t a R i f
tarot	t a R o
tarte	t a R t
tartiner	t a R t i n e
tas	t A
tasse	t A s
tata	t a t a
tatouage	t a t w a Z
tatouages	t a t w a Z
tau	t o
taupe	t o p
taureau	t O R o
tauromachie	t o R o m a S i
taux	t o
tavernier	t a v E R n j e
taxation	t a k s a s j O~
taxe	t a k s
taxes	t a k s
taxi	t a k s i
taxinomie	t a k s i n O m i
tchernobyl	tS E R n o b i l
tchèque	tS E k
tchécoslovaque	tS e k O s l O v a k
tchétchène	tS e tS E n
te	t @
technique	t E k n i k
techno	t E k n o
technologie	t E k n O l O Z i
technologique	t E k n O l O Z i k
technologiques	t E k n O l O Z i k
teck	t E k
teigne	t E J
teindre	t E~ d R
teint	t E~
teinte	t E~ t
teinturier	t E~ t y R j e
tel	t E l
tellement	t E l m A~
tellure	t e l y R
tellurique	t e l y R i k
tempe	t A~ p
template	t A~ p l a t
temple	t A~ p l
temples	t A~ p l
templier	t A~ p l i j e
temporaire	t A~ p O R E R
temps	t A~
tempérament	t A~ p e R a m A~
tempéraments	t A~ p e R a m A~
température	t A~ p e R a t y R
tempête	t A~ p E t
tenace	t @ n a s
tenaille	t @ n a j
tendance	t A~ d A~ s
tendon	t A~ d O~
tendre	t A~ d R
tendresse	t A~ d R E s
teneur	t @ n 9 R
tenir	t @ n i R
tennis	t e n i s
tenon	t @ n O~
tension	t A~ s j O~
tentant	t A~ t A~
tentation	t A~ t a s j O~
tentative	t A~ t a t i v
tentatives	t A~ t a t i v
tente	t A~ t
tenter	t A~ t e
tenture	t A~ t y R
tenue	t @ n y
tequila	t e k i l a
terme	t E R m
terminaison	t E R m i n E z O~
terminal	t E R m i n a l
terminale	t E R m i n a l
terminales	t E R m i n a l
terminaux	t E R m i n o
terminer	t E R m i n e
terminus	t E R m i n y s
termites	t E R m i t
terne	t E R n
terni	t E R n i
terrain	t E R E~
terrasse	t e R a s e
terre	t E R
terres	t E R
terrestre	t E R E s t R
terreur	t E R 9 R
terrible	t E R i b l
terriblement	t E R i b l @ m A~
terrier	t E R j e
terril	t E R i
territoire	t E R i t w a R
terroir	t E R w a R
tes	t e
tesla	t e s l a
tesson	t e s O~
test	t E s t
testa	t E s t a
testament	t E s t a m A~
testamentaire	t E s t a m A~ t E R
tester	t E s t e
testiculaire	t E s t i k y l E R
testicule	t E s t i k y l
testicules	t E s t i k y l
testostérone	t E s t O s t e R O n
texte	t E k s t
textes	t E k s t
textile	t E k s t i l
thaïlandais	t a j l A~ d E
thaïlandaise	t a j l A~ d E z
thermal	t E R m a l
thermales	t E R m a l
thermaux	t E R m o
thermidor	t E R m i d O R
thermodynamique	t E R m o d i n a m i k
thermodynamiques	t E R m o d i n a m i k
thermomètre	t E R m O m E t R
thon	t O~
thorium	t O R j O m
thrombose	t R O~ b O z
thym	t E~
thème	t E m
thèmes	t E m
thèse	t E z
thé	t e
thématique	t e m a t i k
thématiques	t e m a t i k
théorie	t e O R i
théories	t e O R i
théorique	t e O R i k
théoriques	t e O R i k
théosophique	t e o s O f i k
thérapeute	t e R a p 2 t
thérapeutes	t e R a p 2 t
thérapeutique	t e R a p 9 t i k
thérapie	t e R a p i
thésaurus	t e z o R y s
théâtral	t e a t R a l
théâtrale	t e a t R a l
théâtrales	t e a t R a l
théâtraux	t e a t R o
théâtre	t e A t R
théâtres	t e a t R
tian	t j A~
tibia	t i b j a
tibétain	t i b e t E~
ticket	t i k E
tien	t j E~
tiens	t j E~
tierce	t j E R s
tiers	t j E R
tige	t i Z
tigre	t i g R
tigré	t i g R e
tilde	t i l d
tilleul	t i j 9 l
timbre	t E~ b R
timbré	t E~ b R e
timide	t i m i d
timidité	t i m i d i t e
timon	t i m O~
tin	t E~
tinamou	t i n a m u
tint	t E~
tinée	t i n e
tique	t i k
tir	t i R
tirage	t i R a Z
tire	t i R
tirer	t i R e
tiret	t i R E
tireur	t i R 9 R
tiroir	t i R w a R
tiroirs	t i R w a R
tisane	t i z a n
tisse	t i s
tisser	t i s e
tisserin	t i s R E~
tissu	t i s y
tissé	t i s e
titane	t i t a n
titre	t i t R
tiède	t j E d
toast	t O s t
toboggan	t O b O g A~
toboggans	t o b o g A~
tofu	t o f u
toge	t O Z
toi	t w a
toile	t w a l
toilette	t w a l E t
toilettes	t w a l E t
toison	t w a z O~
toit	t w a
toluène	t O l y E n
tolérance	t O l e R A~ s
tolérant	t O l e R A~
tolérante	t O l e R A~ t
tolérer	t O l e R e
tomate	t O m a t
tomba	t O~ b a
tombe	t O~ b
tombeau	t O~ b o
tombeaux	t O~ b o
tomber	t O~ b e
tome	t o m
tomme	t O m
tomographie	t O m o g R a f i
ton	t O~
tonalité	t O n a l i t e
tonique	t O n i k
toniques	t O n i k
tonne	t O n
tonneau	t O n o
tonnelier	t O n @ l j e
tonnerre	t O n E R
tons	t O~
tonte	t O~ t
toponyme	t O p O n i m
toponymie	t O p O n i m i
toponymique	t O p O n i m i k
toque	t O k
torche	t O R S
tore	t O R
torero	t O R e R o
toreros	t o R e R o
tores	t O R
torique	t O R i k
torrent	t O R A~
torréfaction	t O R e f a k s j O~
tors	t O R
torse	t O R s
torsion	t O R s j O~
tort	t O R
tortue	t O R t y
tortueux	t O R t H 2
torture	t O R t y R
torturer	t O R t y R e
total	t O t a l
totale	t O t a l
totalement	t O t a l m A~
totales	t O t a l
totalitaire	t O t a l i t E R
totalitarisme	t O t a l i t a R i s m
totalité	t O t a l i t e
totaux	t O t o
totem	t O t E m
touareg	t w a R E g
toucha	t u S a
touche	t u S
toucher	t u S e
touché	t u S e
touffe	t u f
toujours	t u Z u R
toundra	t u n d R a
toupie	t u p i
tour	t u R
tourbe	t u R b
tourbillon	t u R b i j O~
tourbière	t u R b j E R
tourbières	t u R b j E R
tourelle	t u R E l
tourisme	t u R i z m
touriste	t u R i s t
touristique	t u R i s t i k
tourment	t u R m A~
tourmente	t u R m A~ t
tourmenté	t u R m A~ t e
tournant	t u R n A~
tourner	t u R n e
tournesol	t u R n @ z O l
tournevis	t u R n @ v i s
tournure	t u R n y R
tournures	t u R n y R
tournée	t u R n e
tourte	t u R t
tourterelle	t u R t @ R E l
tous	t u s
tout	t u
toute	t u t
toutefois	t u t @ f w a
toutes	t u t
toux	t u
toxicologie	t O k s i k O l O Z i
toxique	t O k s i k
toxiques	t O k s i k
trace	t R a s
tracer	t R a s e
traces	t R a s
trachée	t R a S e
tract	t R a k t
tracteur	t R a k t 9 R
trade	t R E d
tradition	t R a d i s j O~
traditions	t R a d i s j O~
traducteur	t R a d y k t 9 R
traduction	t R a d y k s j O~
traduire	t R a d H i R
trafic	t R a f i k
trafics	t R a f i k
tragique	t R a Z i k
tragiques	t R a Z i k
tragédie	t R a Z e d i
trahi	t R a i
trahir	t R a i R
trahison	t R a i z O~
trahisons	t R a i z O~
train	t R E~
trains	t R E~
trait	t R E
traitement	t R E t m A~
traiter	t R E t e
traiteur	t R E t 9 R
trajectoire	t R a Z E k t w a R
trajet	t R a Z E
tram	t R a m
trame	t R a m
trames	t R a m
trampoline	t R A~ p O l i n
tramway	t R a m w E
tramways	t R a m w E
trance	t R A~ s
tranchant	t R A~ S A~
tranche	t R A~ S
trancher	t R A~ S e
tranchée	t R A~ S e
tranquille	t R A~ k i l
tranquillement	t R A~ k i l m A~
tranquilles	t R A~ k i l
transaction	t R A~ z a k s j O~
transatlantique	t R A~ z a t l A~ t i k
transcription	t R A~ s k R i p s j O~
transe	t R A~ n s
transformateur	t R A~ s f O R m a t 9 R
transformation	t R A~ s f O R m a s j O~
transformer	t R A~ s f O R m e
transfuge	t R A~ s f y Z
transfusion	t R A~ s f y z j O~
transférer	t R A~ s f e R e
transistor	t R A~ z i s t O R
transiter	t R A~ z i t e
transitif	t R A~ z i t i f
transitifs	t R A~ z i t i f
transitive	t R A~ z i t i v
translittération	t R A~ s l i t e R a s j O~
translucide	t R A~ s l y s i d
transmettre	t R A~ s m E t R
transmission	t R A~ s m i s j O~
transmissions	t R A~ s m i s j O~
transparence	t R A~ s p a R A~ s
transparent	t R A~ s p a R A~
transport	t R A~ s p O R
transporter	t R A~ s p O R t e
transposer	t R A~ s p O z e
transposée	t R A~ s p o z e
trappe	t R a p
trapu	t R a p y
trapèze	t R a p E z
traque	t R a k
traquer	t R a k e
traquet	t R a k E
traumatique	t R o m a t i k
traumatisme	t R o m a t i s m
traumatisé	t R o m a t i z e
travail	t R a v a j
travaillant	t R a v a j A~
travailler	t R a v a j e
travailleur	t R a v a j 9 R
