ALES	a_" l e s
sovríno	s o v_" 4_" i~_" n o~
su	s_" u_"
sueldo'ípe	s_% w_% e_% l_% d o ?_" i_" p e
sufri	s u f_" 4_" i_" 4_"
sufri	s u h 4_" i_"
supermerkadorã	s u p e 4 m e~ 4 k_% a_% D o 4_" a~_"
supermerkádo	s u p e 4 m e~ 4 k_" a_" D o
supermerkádope	s_% u_% p e 4 m e~ 4 k_" a_" D o p e
supervisópe	s_% u_% p e 4 B i s_" o_" 4_" p e
supervisópe	s_% u_% p e 4 v i s_" o_" p e
suplénte	s u p_" l_" e~_" n_" t e
suplénte	s u p_" l_" e~_" tn e
supére	s u p_" e_" 4 e
susu'a	s u s u ?_" a_"
suv	s_" u_" B_"
suvítena	s u B_" i_" t e~ n a~
suvítena	s u v_" i_" t e~ n a~
suégra	s_" w_" e_" G 4 a
suégra	s_" w_" e_" M\ 4 a
suégro	s_" w_" e_" G 4 o
suégro	s_" w_" e_" M\ 4 o
suéldo	s_" w_" e_" l_" d o
suéna	s_" w_" e~_" n a~
suérte	s_" w_" e_" 4_" t e
suérteko	s_" w_" e_" 4_" t e k o
suíso	s_" w_" i_" s o
sy	s_" 1_"
syete	s 1 e t_" e_"
sykuéra	s 1 k_" w_" e_" 4 a
sáldo	s_" a_" l_" d o
sáldogui	s_" a_" l_" d o M\ w i
sánta	s_" a~_" n_" t a
sánta	s_" a~_" tn a
sántape	s_" a~_" n_" t a p e
sántape	s_" a~_" tn a p e
sávado	s_" a_" B a D o
sávado	s_" a_" v a D o
sávadoko	s_" a_" B a D o k o
sávadoko	s_" a_" v a D o k o
sáve	s_" a_" B e
sáve	s_" a_" v e
séa	s_" e_" a
sédula	s_" e_" D u l a
séih	s_" e_" j_"
séih	s_" e_" j_" s_"
séihnte	s_" e_" j_" tn e
séihpe	s_" e_" j_" p e
séihre	s_" e_" j_" 4 e
séka	s_" e_" k a
séko	s_" e_" 4_" gN o
séko	s_" e_" 4_" k o
séko	s_" e_" gN o
séko	s_" e_" k o
séna	s_" e~_" n a~
séntro	s_" e~_" n_" t 4 o
séntro	s_" e~_" t 4 o
séntro	s_" e~_" t s` o
séntrogui	s_" e~_" n_" t 4 o M\ w i
séntrogui	s_" e~_" t 4 o M\ w i
séntrogui	s_" e~_" t s` o M\ w i
séntrope	s_" e~_" n_" t 4 o p e
séntrope	s_" e~_" t 4 o p e
séntrope	s_" e~_" t s` o p e
sério	s_" e_" 4 j o
sérioko	s_" e_" 4 j o k o
sérka	s_" e_" 4_" k a
sérro	s_" e_" r o
sído	s_" i_" D o
sílla	s_" i_" L a
sínko	s_" i~_" N_" k o
sínkoma	s_" i~_" N_" k o~ m a~
síno	s i~ n_" o~_"
síntope	s_" i~_" n_" t o p e
síntope	s_" i~_" tn o p e
sírkulo	s_" i_" 4_" k u l o
síta	s_" i_" t a
sói	s_" o_" j_"
sóla	s_" o_" l a
sólo	s_" o_" l o
sómbra	s_" o~_" bm 4 a
sómbra	s_" o~_" m_" b 4 a
sóna	s_" o~_" n a~
sónare	s_" o_" n a~ 4 e
sópa	s_" o_" p a
sósio	s_" o_" s j o
sósioko	s_" o_" s j o k o
sõ	s_" o~_"
sõ	s_" o~_" N_"
súpe	s_" u_" 4_" p e
súpe	s_" u_" p e
súpe	s_" u_" p e 4
súpepe	s_" u_" p e 4 p e
súpepe	s_" u_" p e p e
súpepeko	s_" u_" p e 4 p e k o
súpepeko	s_" u_" p e p e k o
súvẽ	s_" u_" B e~ N
súvẽ	s_" u_" v e~
sýko	s_" 1_" k o
sýpe	s_" 1_" p e
sĩ	s_" i~_"
sĩ	s_" i~_" N_"
ta'angambyrýre	t a ? a~ gN a~ bm 1 4_" 1_" 4 e
ta'e	t a ?_" e_"
tache	t a S_" e_"
tagueraha	t a 4 a h_" a_"
tagueraha	t a M\ w e 4 a h_" a_"
taha'e	t a h a ?_" e_"
taha	t a h_" a_"
tahami	t a h a~ m_" i~_"
tahe'i	t a h e ?_" i_"
taiko	t a j k_" o_"
taimembýma	t a j m e~ bm_" 1_" m a~
taita	t a j t_" a_"
taitápe	t a j t_" a_" p e
taku	t a k_" u_"
takuare'ẽ	t a k w a 4 e~ ?_" e~_"
takurúko	t a k u 4_" u_" k o
tal	t_" a_" l_"
tallarĩ	t a L a 4_" i~_"
tallarĩ	t a L a 4_" i~_" N_"
talle	t a L_" e_"
talle	t a L_" e_" 4_"
tambiẽ	t a~ bm_" j_" e~_"
tambiẽ	t a~ m b_" j_" e~_" N_"
tambohasa	t a~ bm o h a s_" a_"
tande	t a~ dn_" e_"
tantoiterei	t_% a~_% n_% t o j t e 4 e i_"
tantoiterei	t_% a~_% tn o j t e 4 e i_"
tape	t a p_" e_"
tapensami	t a p e~ n s_% a_% m_" i~_"
tapensami	t a p e~ s_% a_% m_" i~_"
tapytã	t a p 1~ t_" a~_"
tapépe	t a p_" e_" p e
tapére	t a p_" e_" 4 e
tarde'íma	t_% a_% 4_% D e ?_" i_" m a~
tardeterei	t_% a_% 4_% D e t e 4 e i_"
tardetereíma	t_% a_% 4_% D e t e 4 e i_" m a~
tardetereímako	t_% a_% 4_% D e t e 4 e i_" m a~ gN o
tardetereímako	t_% a_% 4_% D e t e 4 e i_" m a~ k o
tardeve	t_% a_% 4_% D e v_" e_"
tardevéko	t_% a_% 4_% D e v_" e_" j_" gN o
tardevéko	t_% a_% 4_% D e v_" e_" j_" k o
tardevéko	t_% a_% 4_% D e v_" e_" k o
tardevénte	t_% a_% 4_% D e v_" e~_" tn e
tarhéta	t a 4 x_" e_" t a
tata	t a t_" a_"
tatakua	t a t a k_" w_" a_"
tatakuápe	t a t a k_" w_" a_" p e
tatáre	t a t_" a_" 4 e
tava'i	t a a ?_" i_"
tava'i	t a v a ?_" i_"
tavy	t a v_" 1_"
tavyron	t a 1 4_" o~_"
tavyron	t a v 1 4_" o~_"
tavyron	t a v 1 4_" o~_" N_"
te'i	t_% e_% ?_" i_"
te	t_" e_"
teete	t e e t_" e_"
tehtígo	t e h t_" i_" M\ o
tehtígo	t e s t_" i_" G o
tekladíhta	t e k l a D_" i_" h_" t a
tekladíhta	t e k l a D_" i_" s_" t a
tekládo	t e k_" l_" a_" D o
teknolohía	t e h n o~ l o x_" i_" a
teknolohía	t e k n o~ l o x_" i_" a
teko	t e k_" o_"
tekotevẽ	t e k o t e~ v_" e~_"
telefono'i	t e l_% e_% f o~ n o~ ?_" i_"
telefono'i	t e l_% e_% h o~ n o~ ?_" i_"
telenovéla	t e l e~ n o~ B_" e_" l a
telenovéla	t e l e~ n o~ v_" e_" l a
televisiõ	t e l e B i s_" j_" o~_" N_"
televisiõ	t e l e v i s_" j_" o~_"
teléfono	t e l_" e_" f o~ n o~
teléfono	t e l_" e_" h o~ n o~
teléfonogui	t e l_" e_" f o~ n o~ M\ w i
teléfonogui	t e l_" e_" h o~ n o~ M\ w i
teléfonoko	t e l_" e_" f o~ n o~ k o
teléfonoko	t e l_" e_" h o~ n o~ gN o
teléfonoko	t e l_" e_" h o~ n o~ k o
teléfonope	t e l_" e_" f o~ n o~ p e
teléfonope	t e l_" e_" h o~ n o~ p e
tema'i	t_% e~_% m a~ ?_" i_"
tembi'u	t e~ bm i ?_" u_"
tembi'ukuéra	t e~ bm i ? u k_" w_" e_" 4 a
tembi'urami	t e~ bm i ? u 4 a~ m_" i~_"
tembi'urã	t e~ bm i ? u~ 4_" a~_"
tembi'urãngo	t e~ bm i ? u~ 4_" a~_" gN o
tembiapo	t e~ bm j a p_" o_"
tembiporu	t e~ bm i p o 4_" u_"
tembireko	t e~ bm i 4 e k_" o_"
tembirekokuéicha	t e~ bm i 4 e k o k_" w_" e_" j_" S a
tempranomínte	t e~ m p_% 4_% a_% n o~ m_" i~_" tn e
tempranove	t e~ m p_% 4_% a_% n o~ v_" e_"
tempranítoko	t e~ m p 4 a~ n_" i~_" t o k o
tempranítoko	t e~ m p 4 a~ n_" i~_" t o~ gN o
tempráno	t e~ m p_" 4_" a~_" n o~
tempránorõ	t e~ m p_" 4_" a_" n o~ 4 o~
tene	t e~ n_" e~_"
tene	t e~ n_" e~_" 4_"
teneh	t e~ n_" e~_" h_"
teneh	t e~ n_" e~_" s_"
tenonde	t e~ n o~ dn_" e_"
tepa	t e p_" a_"
tereho	t e 4 e h_" o_"
terehóna	t e 4 e h_" o_" n a~
terere	t e 4 e 4_" e_"
tereréko	t e 4 e 4_" e_" k o
terminálpe	t e 4 m i~ n_" a~_" l_" p e
termómetro	t e 4 m_" o~_" m e~ t 4 o
termómetro	t e 4 m_" o~_" m e~ t s` o
terse	t e 4 s_" e_"
terse	t e 4 s_" e_" 4_"
tersérape	t e 4 s_" e_" 4 a p e
tesoréro	t e s o 4_" e_" 4 o
tiakuérape	t_% i_% a h k_" w_" e_" 4 a p e
tiakuérape	t_% j_% a_% k_" w_" e_" 4 a p e
tiempoitereíma	t_% j_% e~_% m_% p o j t e 4 e i_" m a~
tiempomi	t_% j_% e~_% m_% p o~ m_" i~_"
tingládo	t i~ N g_" l_" a_" D o
tingládo	t i~ gN_" l_" a_" D o
tiokuéra	t_% i_% o h k_" w_" e_" 4 a
tiokuéra	t_% j_% o_% k_" w_" e_" 4 a
tiroíde	t i 4_" o_" j_" D e
tirádo	t i 4_" a_" D o
titula	t i t u l_" a_"
titula	t i t u l_" a_" 4_"
titulaete	t i t u l_% a_% 4 e t_" e_"
titígui	t i t_" i_" M\ w i
tiémpo	t_" j_" e~_" m_" p o
tiémpoma	t_" j_" e~_" m_" p o~ m a~
tiémpongo	t_" j_" e~_" m_" p o~ gN o
tiémponte	t_" j_" e~_" m_" p o~ tn e
tiémponterõ	t_" j_" e~_" m_" p o~ tn e 4 o~
tiémpope	t_" j_" e~_" m_" p o p e
tiémpopy	t_" j_" e~_" m_" p o p 1
tiéne	t_" j_" e~_" n e~
tiérra	t_" j_" e_" r a
toallíta	t o a L_" i_" t a
toaverigua	t o a B e 4 i G_" w_" a_"
toaverigua	t o a v e 4 i M\_" w_" a_"
todavía	t o D a B_" i_" a
todavía	t o D a v_" i_" a
todopoderóso	t o D o p o D e 4_" o_" s o
togueraha	t o 4 a h_" a_"
togueraha	t o M\ w e 4 a h_" a_"
togueru	t o 4_" u_"
togueru	t o M\ w e 4_" u_"
toguerúnte	t o 4_" u_" tn e
toguerúnte	t o M\ w e 4_" u_" tn e
toguerúntema	t o 4_" u_" tn e~ m a~
toguerúntema	t o M\ w e 4_" u_" tn e~ m a~
tohecha	t o h e S_" a_"
toheja	t o h e dj_" a_"
tohenói	t o h e~ n_" o~_" j_"
toho	t o h_" o_"
toiko	t o j k_" o_"
toipeju	t o j p e dj_" u_"
toipuruka	t o j p u 4 u k_" a_"
tojapo	t o dZ a p_" o_"
tojedehánte	t o dZ e D e x_" a_" tn e
tojedihtraemi	t o dZ e D i h t 4 a e_% m_" i~_"
tojedihtraemi	t o dZ e D i h t s` a e_% m_" i~_"
tojehecha	t o dZ e h e S_" a_"
tojehecháta	t o dZ e h e S_" a_" t a
tojerepa	t o dZ e 4 e p_" a_"
tojerure	t o dZ e 4 u 4_" e_"
tojohéi	t o dZ o h_" e_" j_"
tomografía	t o~ m o~ G 4 a f_" i_" a
tomografía	t o~ m o~ M\ 4 a h_" i_" a
tomongyra	t o~ m o~ gN 1 4_" a_"
tomoĩna	t o~ m o~ i~_" n a~
tomámoh	t o~ m_" a~_" m o~ h
tomámoh	t o~ m_" a~_" m o~ s
tomáte	t o~ m_" a~_" t e
topreparami	t o p 4 e p a 4_% a_% m_" i~_"
topytami	t o p 1 t a~ m_" i~_"
tornéo	t o 4 n_" e~_" o
tortillíta	t o 4 t i L_" i_" t a
tortílla	t o 4 t_" i_" L a
tortíllare	t o 4 t_" i_" L a 4 e
toríto	t o 4_" i_" t o
tosẽmi	t o s e~ m_" i~_"
total	t o t_" a_" l_"
totalménte	t o t a l m_" e~_" n_" t e
totalménte	t o t a l m_" e~_" tn e
tou	t o u_"
tovajo	t o a dj_" o_"
tovajo	t o v a dj_" o_"
tove	t o v_" e_"
toñemovilisa	t o~ J e~ m o~ B i l i s_" a_"
toñemovilisa	t o~ J e~ m o~ v i l i s_" a_"
toúntema	t o u_" tn e~ m a~
tradisional	t 4 a D i s j o~ n_" a~_" l_"
tradisional	t s` a D i s j o~ n_" a~_" l_"
trae	t 4 a e_"
trae	t 4 a e_" 4_"
trae	t s` a e_"
tragamonédah	t_% 4_% a_% G a~ m o~ n_" e~_" D a s
tragamonédah	t_% 4_% a_% M\ a~ m o~ n_" e~_" D a h
tragamonédah	t_% s`_% a_% M\ a~ m o~ n_" e~_" D a h
trahladokuéra	t 4 a h l_% a_% D o h k_" w_" e_" 4 a
trahladokuéra	t 4 a h l_% a_% D o k_" w_" e_" 4 a
trahladokuéra	t s` a h l_% a_% D o k_" w_" e_" 4 a
trahládo	t 4 a h l_" a_" D o
trahládo	t 4 a~ n s l_" a_" D o
trahládo	t s` a h l_" a_" D o
tranganádo	t 4 a~ h M\ a~ n_" a~_" D o
tranganádo	t 4 a~ n s G a~ n_" a~_" D o
tranganádo	t s` a~ h M\ a~ n_" a~_" D o
trankarã	t_% 4_% a~_% N_% k a 4_" a~_"
trankarã	t_% s`_% a~_% N_% k a 4_" a~_"
trankilida	t 4 a~ N k i l i D_" a_"
trankilida	t 4 a~ N k i l i D_" a_" D_"
trankilida	t s` a~ N k i l i D_" a_"
trankilisánte	t 4 a~ N k i l i s_" a~_" n_" t e
trankilisánte	t 4 a~ N k i l i s_" a~_" tn e
trankilisánte	t s` a~ N k i l i s_" a~_" tn e
trankiloite	t 4 a~ N k_% i_% l o j t_" e_"
trankiloite	t s` a~ N k_% i_% l o j t_" e_"
trankiloiterei	t 4 a~ N k_% i_% l o j t e 4 e i_"
trankiloiterei	t s` a~ N k_% i_% l o j t e 4 e i_"
trankiloitereíma	t 4 a~ N k_% i_% l o j t e 4 e i_" m a~
trankiloitereíma	t s` a~ N k_% i_% l o j t e 4 e i_" m a~
trankilopa	t 4 a~ N k_% i_% l o p_" a_"
trankilopa	t s` a~ N k_% i_% l o p_" a_"
trankilopaite	t 4 a~ N k_% i_% l o p a j t_" e_"
trankilopaite	t s` a~ N k_% i_% l o p a j t_" e_"
trankilopaiténgo	t 4 a~ N k_% i_% l o p a j t_" e~_" gN o
trankilopaiténgo	t 4 a~ N k_% i_% l o p a j t_" e~_" k o
trankilopaiténgo	t s` a~ N k_% i_% l o p a j t_" e~_" gN o
trankilopángo	t 4 a~ N k_% i_% l o p_" a~_" gN o
trankilopángo	t 4 a~ N k_% i_% l o p_" a~_" k o
trankilopángo	t s` a~ N k_% i_% l o p_" a~_" gN o
trankilopáta	t 4 a~ N k_% i_% l o p_" a_" t a
trankilopáta	t s` a~ N k_% i_% l o p_" a_" t a
trankilove	t 4 a~ N k_% i_% l o v_" e_"
trankilove	t s` a~ N k_% i_% l o v_" e_"
trankilovéma	t 4 a~ N k_% i_% l o v_" e_" m a~
trankilovéma	t s` a~ N k_% i_% l o v_" e_" m a~
trankíla	t 4 a~ N k_" i_" l a
trankíla	t s` a~ N k_" i_" l a
trankílo	t 4 a~ N k_" i_" l o
trankílo	t s` a~ N k_" i_" l o
trankíloma	t 4 a~ N k_" i_" l o~ m a~
trankíloma	t s` a~ N k_" i_" l o~ m a~
trankílongo	t 4 a~ N k_" i_" l o k o
trankílongo	t 4 a~ N k_" i_" l o~ gN o
trankílongo	t s` a~ N k_" i_" l o~ gN o
tranpórte	t 4 a~ h p_" o_" 4_" t e
tranpórte	t 4 a~ n s p_" o_" 4_" t e
tranpórte	t s` a~ h p_" o_" 4_" t e
tratamiento'i	t 4 a t a~ m_% j_% e~_% n_% t o ?_" i_"
tratamiento'i	t 4 a t a~ m_% j_% e~_% tn o ?_" i_"
tratamiento'i	t s` a t a~ m_% j_% e~_% tn o ?_" i_"
tratamiénto	t 4 a t a~ m_" j_" e~_" n_" t o
tratamiénto	t 4 a t a~ m_" j_" e~_" tn o
tratamiénto	t s` a t a~ m_" j_" e~_" tn o
tratamiéntope	t 4 a t a~ m_" j_" e~_" n_" t o p e
tratamiéntope	t 4 a t a~ m_" j_" e~_" tn o p e
tratamiéntope	t s` a t a~ m_" j_" e~_" tn o p e
traumambaite	t_% 4_% a~_% w_% m a~ bm a j t_" e_"
traumambaite	t_% s`_% a~_% w_% m a~ bm a j t_" e_"
travaha	t 4 a B a x_" a_" 4_"
travaha	t 4 a v a x_" a_"
travaha	t s` a v a x_" a_"
travaho'i	t 4 a B_% a_% x o ?_" i_"
travaho'i	t 4 a v_% a_% x o ?_" i_"
travaho'i	t s` a v_% a_% x o ?_" i_"
travahohágui	t 4 a B_% a_% x o h_" a_" M\ w i
travahohágui	t 4 a v_% a_% x o h_" a_" M\ w i
travahohágui	t s` a v_% a_% x o h_" a_" M\ w i
travahohápe	t 4 a B_% a_% x o h_" a_" p e
travahohápe	t 4 a v_% a_% x o h_" a_" p e
travahohápe	t s` a v_% a_% x o h_" a_" p e
travahokuépe	t 4 a B_% a_% x o k_" w_" e_" p e
travahokuépe	t 4 a v_% a_% x o k_" w_" e_" p e
travahokuépe	t s` a v_% a_% x o k_" w_" e_" p e
travahorã	t 4 a B_% a_% x o 4_" a~_"
travahorã	t 4 a v_% a_% x o 4_" a~_"
travahorã	t s` a v_% a_% x o 4_" a~_"
travahándo	t 4 a B a x_" a~_" n_" d o
travahándo	t 4 a v a x_" a~_" dn o
travahándo	t s` a v a x_" a~_" dn o
travahíto	t 4 a B a x_" i_" t o
travahíto	t 4 a v a x_" i_" t o
travahíto	t s` a v a x_" i_" t o
traváho	t 4 a B_" a_" x o
traváho	t 4 a v_" a_" x o
traváho	t s` a v_" a_" x o
traváhoguiko	t 4 a B_" a_" x o M\ w i k o
traváhoguiko	t 4 a v_" a_" x o M\ w i k o
traváhoguiko	t s` a v_" a_" x o M\ w i k o
traváhoko	t 4 a B_" a_" x o k o
traváhoko	t 4 a v_" a_" x o k o
traváhoko	t s` a v_" a_" x o k o
traváhope	t 4 a B_" a_" x o p e
traváhope	t 4 a v_" a_" x o p e
traváhope	t s` a v_" a_" x o p e
traéme	t 4 a e_" m e~
traéme	t s` a e_" m e~
treh	t_" 4_" e_" h_"
treh	t_" 4_" e_" s_"
treh	t_" s`_" e_" h_"
trehsiéntoh	t 4 e s_" j_" e~_" n_" t o s
trehsiéntoh	t 4 e s_" j_" e~_" tn o h
trehsiéntoh	t s` e s_" j_" e~_" tn o h
treméndo	t 4 e~ m_" e~_" dn o
treméndo	t 4 e~ m_" e~_" n_" d o
treméndo	t s` e~ m_" e~_" dn o
treserã	t_% 4_% e_% s e 4_" a~_"
treserã	t_% s`_% e_% s e 4_" a~_"
treínta	t_" 4_" e_" j_" n_" t a
treínta	t_" 4_" e~_" j_" t a
treínta	t_" s`_" e~_" j_" t a
tropikal	t 4 o p i k_" a_" l_"
tropikal	t s` o p i k_" a_" l_"
troso	t 4 o s_" o_"
troso	t s` o s_" o_"
truh	t_" 4_" u_" h_"
truh	t_" s`_" u_" s_"
trága	t_" 4_" a_" G a
trága	t_" 4_" a_" M\ a
trága	t_" s`_" a_" M\ a
trágo	t_" 4_" a_" G o
trágo	t_" 4_" a_" M\ o
trágo	t_" s`_" a_" M\ o
tréhgui	t_" 4_" e_" h_" M\ w i
tréhgui	t_" s`_" e_" h_" M\ w i
tréhnte	t_" 4_" e_" h_" tn e
tréhnte	t_" s`_" e_" h_" tn e
tréhpema	t_" 4_" e_" h_" p e~ m a~
tréhpema	t_" s`_" e_" h_" p e~ m a~
trése	t_" 4_" e_" s e
trése	t_" s`_" e_" s e
tu	t_" u_"
tuguy	t u M\_" w_" 1_"
tuicha	t w i S_" a_"
tuichaite	t w i S a j t_" e_"
tuichaiterei	t w i S a j t e 4 e i_"
tuichaitereíko	t w i S a j t e 4 e i_" k o
tuichaitereíma	t u j S a j t e 4 e i_" m a~
tuichaitereínte	t w i S a j t e 4 e i_" tn e
tuichaitére	t w i S a j t_" e_" 4 e
tuichapáma	t w i S a p_" a_" m a~
tuichatuicha	t w i S a t w i S_" a_"
tuichave	t w i S a v_" e_"
tuichavéma	t w i S a v_" e_" m a~
tuichavéva	t w i S a v_" e_" a
tuichavéva	t w i S a v_" e_" v a
tuichavévako	t w i S a v_" e_" a k o
tuichavévako	t w i S a v_" e_" v a k o
tuicháicha	t w i S_" a_" j_" S a
tuicháko	t w i S_" a_" k o
tuicháma	t w i S_" a_" m a~
tuicháva	t w i S_" a_" a
tuicháva	t w i S_" a_" v a
tuja	t u dj_" a_"
tujaite	t u dZ a j t_" e_"
tuju	t u dj_" u_"
tujápe	t u dj_" a_" p e
tujúre	t u dj_" u_" 4 e
tumúlto	t u~ m_" u~_" l_" t o
tupa	t u p_" a_"
tupao	t u p a o_"
tupaópe	t u p a o_" p e
tupãopeguáko	t u p a~ o p e M\_" w_" a_" k o
turvinakuéra	t u 4 B_% i_% n a~ h k_" w_" e_" 4 a
turvinakuéra	t u 4 v_% i_% n a~ k_" w_" e_" 4 a
turvína	t u 4 v_" i~_" n a~
turíhmo	t u 4_" i_" h_" m o~
turíhmo	t u 4_" i_" s_" m o~
tutoría	t u t o 4_" i_" a
tuvy	t u v_" 1_"
tyeraku	t 1 e 4 a k_" u_"
táko	t_" a_" k o
tánke	t_" a~_" N_" k e
tánto	t_" a~_" n_" t o
tánto	t_" a~_" tn o
tápa	t_" a_" p a
tárde	t_" a_" 4_" D e
tárdekoma	t_" a_" 4_" D e k o~ m a~
tárdema	t_" a_" 4_" D e~ m a~
tárdentema	t_" a_" 4_" D e~ tn e~ m a~
táva	t_" a_" a
táva	t_" a_" v a
tã	t_" a~_"
tã	t_" a~_" N_"
técho	t_" e_" S o
técho	t_" e_" tS o
tékniko	t_" e_" h_" n i~ k o
tékniko	t_" e_" k_" n i~ k o
téla	t_" e_" l a
téle	t_" e_" l e
télepe	t_" e_" l e p e
télere	t_" e_" l e 4 e
téma	t_" e~_" m a~
témape	t_" e_" m a~ p e
témata	t_" e_" m a~ t a
téngo	t_" e~_" N_" g o
téngo	t_" e~_" gN o
térã	t_" e_" 4 a~
tía	t_" i_" a
tíagui	t_" i_" a M\ w i
tíagui	t_" j_" a_" M\ w i
tíako	t_" i_" a k o
tíako	t_" j_" a_" k o
tíante	t_" i_" a~ tn e
tíante	t_" j_" a_" tn e
tíape	t_" i_" a p e
tíape	t_" j_" a_" p e
tío	t i o_"
tío	t_" i_" o
tíope	t_" i_" o p e
tíope	t_" j_" o_" p e
típa	t_" i_" p a
típika	t_" i_" p i k a
típikah	t_" i_" p i k a h
típikah	t_" i_" p i k a s
típo	t_" i_" p o
tíre	t_" i_" 4 e
título	t_" i_" t u l o
tóda	t_" o_" D a
tódo	t_" o_" D o
tódoh	t_" o_" D o h
tódoh	t_" o_" D o s
tódohpe	t_" o_" D o h p e
tódoko	t_" o_" D o k o
tóko	t_" o_" k o
tóro	t_" o_" 4 o
tórta	t_" o_" 4_" t a
túke	t_" u_" k e
túrno	t_" u_" 4_" n o~
túva	t_" u_" a
túva	t_" u_" v a
túvape	t_" u_" a p e
túvape	t_" u_" v a p e
tĩ	t_" i~_"
u	?_" u_"
uhéi	u h_" e_" j_"
uhéima	u h_" e_" j_" m a~
uje'use	u dZ e ? u s_" e_"
ultimátum	u l t i~ m_" a~_" t u~ m
umeda	u~ m e~ D_" a_"
umeda	u~ m e~ D_" a_" D_"
umi	u~ m_" i~_"
umilda	u~ m i~ l d_" a_"
umilda	u~ m i~ l d_" a_" D_"
umivakuéra	u~ m i~ a k_" w_" e_" 4 a
umivakuéra	u~ m i~ v a k_" w_" e_" 4 a
umáno	u~ m_" a~_" n o~
umícha	u~ m_" i~_" S a~
umíro	u~ m_" i~_" 4 o~
umíva	u~ m_" i~_" a~
umíva	u~ m_" i~_" v a~
umívagui	u~ m_" i~_" a~ M\ w i
umívagui	u~ m_" i~_" v a~ M\ w i
umívaguio	u~ m_" i~_" a~ M\ w i o
umívaguio	u~ m_" i~_" v a~ M\ w i o
umívaiti	u~ m_" i~_" a~ j t i
umívaiti	u~ m_" i~_" v a~ j t i
umívako	u~ m_" i~_" a~ k o
umívako	u~ m_" i~_" v a~ k o
umívami	u~ m_" i~_" a~ m i~
umívami	u~ m_" i~_" v a~ m i~
umívango	u~ m_" i~_" a~ gN o
umívango	u~ m_" i~_" v a~ gN o
umívante	u~ m_" i~_" a~ tn e
umívante	u~ m_" i~_" v a~ tn e
umívape	u~ m_" i~_" a~ p e
umívape	u~ m_" i~_" v a~ p e
umívapengo	u~ m_" i~_" a~ p e~ gN o
umívapengo	u~ m_" i~_" v a~ p e~ gN o
umívapy	u~ m_" i~_" a~ p 1
umívapy	u~ m_" i~_" v a~ p 1
umívare	u~ m_" i~_" a~ 4 e
umívare	u~ m_" i~_" v a~ 4 e
umívarengo	u~ m_" i~_" a~ 4 e~ gN o
umívarengo	u~ m_" i~_" v a~ 4 e~ gN o
uniformekuéra	u~ n i~ f_% o_% 4_% m e~ h k_" w_" e_" 4 a
uniformekuéra	u~ n i~ h_% o_% 4_% m e~ k_" w_" e_" 4 a
unifórme	u~ n i~ f_" o_" 4_" m e~
unifórme	u~ n i~ h_" o_" 4_" m e~
uniõ	u~ n_" j_" o~_"
uniõ	u~ n_" j_" o~_" N_"
uo	u o_"
upa	u p_" a_"
upe	u p_" e_"
upeichagua	p e j S a M\_" w_" a_"
upeichagua	u p e j S a M\_" w_" a_"
upeichahágui	p e j S a h_" a_" M\ w i
upeichahágui	u p e j S a h_" a_" M\ w i
upeichaite	p e j S a j t_" e_"
upeichaite	u p e j S a j t_" e_"
upeichaitéko	p e j S a j t_" e_" k o
upeichaitéko	u p e j S a j t_" e_" k o
upeichapaite	p e j S a p a j t_" e_"
upeichapaite	u p e j S a p a j t_" e_"
upeichapaitéko	p e j S a p a j t_" e_" k o
upeichapaitéko	u p e j S a p a j t_" e_" k o
upeichapaiténtema	p e j S a p a j t_" e_" tn e~ m a~
upeichapaiténtema	u p e j S a p a j t_" e_" tn e~ m a~
upekuévo	p e k_" w_" e_" v o
upekuévo	u p e k_" w_" e_" o
upekuévo	u p e k_" w_" e_" v o
upepegua	p e p e M\_" w_" a_"
upepegua	u p e p e M\_" w_" a_"
upeperõguáicha	p e p e 4 o~ M\_" w_" a_" j_" S a
upeperõguáicha	u p e p e 4 o~ M\_" w_" a_" j_" S a
upepete	p e p e t_" e_"
upepete	u p e p e t_" e_"
upepevénte	p e p e v_" e_" tn e
upepevénte	u p e p e v_" e_" tn e
uperupiete	p e 4 u p j e t_" e_"
uperupiete	u p e 4 u p j e t_" e_"
upeva'ỹrengo	p e v a~ ?_" 1~_" 4 e~ gN o
upeva'ỹrengo	u p e a~ ?_" 1~_" 4 e~ gN o
upeva'ỹrengo	u p e v a~ ?_" 1~_" 4 e~ gN o
upevaguínteko	u p e a M\_" w_" i_" tn e k o
upevaguínteko	u p e v a M\_" w_" i_" tn e k o
upevaite	p e v a j t_" e_"
upevaite	u p e a j t_" e_"
upevaite	u p e v a j t_" e_"
upevaitépe	p e v a j t_" e_" p e
upevaitépe	u p e a j t_" e_" p e
upevaitépe	u p e v a j t_" e_" p e
upégui	p_" e_" M\ w i
upégui	u p_" e_" M\ w i
upéguintema	p_" e_" M\ w i~ tn e~ m a~
upéguintema	u p_" e_" M\ w i~ tn e~ m a~
upéguio	p_" e_" M\ w i o
upéguio	u p_" e_" M\ w i o
upéi	p_" e_" j_"
upéi	u p_" e_" j_"
upéicha	p_" e_" j_" S a
upéicha	u p_" e_" j_" S a
upéichako	p_" e_" j_" S a k o
upéichako	u p_" e_" j_" S a k o
upéichango	p_" e_" j_" S a~ gN o
upéichango	u p_" e_" j_" S a~ gN o
upéichante	p_" e_" j_" S a~ tn e
